1,2017-12-01 00,594
2,2017-12-01 00,1059
3,2017-12-01 00,128
4,2017-12-01 00,152
5,2017-12-01 00,313
6,2017-12-01 00,231
7,2017-12-01 00,112
8,2017-12-01 00,89
9,2017-12-01 00,256
10,2017-12-01 00,35
11,2017-12-01 00,424
12,2017-12-01 00,105
13,2017-12-01 00,79
14,2017-12-01 00,29
15,2017-12-01 00,21
16,2017-12-01 00,11
17,2017-12-01 00,470
18,2017-12-01 00,681
19,2017-12-01 00,331
20,2017-12-01 00,49
21,2017-12-01 00,214
22,2017-12-01 00,6
23,2017-12-01 00,457
24,2017-12-01 00,12
25,2017-12-01 00,228
26,2017-12-01 00,54
27,2017-12-01 00,25
28,2017-12-01 00,285
29,2017-12-01 00,34
30,2017-12-01 00,510
31,2017-12-01 00,249
32,2017-12-01 00,33
33,2017-12-01 00,20
1,2017-12-01 01,477
2,2017-12-01 01,983
3,2017-12-01 01,48
4,2017-12-01 01,170
5,2017-12-01 01,169
6,2017-12-01 01,198
7,2017-12-01 01,118
8,2017-12-01 01,30
9,2017-12-01 01,236
10,2017-12-01 01,9
11,2017-12-01 01,250
12,2017-12-01 01,45
13,2017-12-01 01,28
14,2017-12-01 01,12
15,2017-12-01 01,13
16,2017-12-01 01,7
17,2017-12-01 01,182
18,2017-12-01 01,348
19,2017-12-01 01,270
20,2017-12-01 01,26
21,2017-12-01 01,487
22,2017-12-01 01,6
23,2017-12-01 01,349
24,2017-12-01 01,5
25,2017-12-01 01,569
26,2017-12-01 01,30
27,2017-12-01 01,30
28,2017-12-01 01,132
29,2017-12-01 01,6
30,2017-12-01 01,412
31,2017-12-01 01,105
32,2017-12-01 01,11
33,2017-12-01 01,25
1,2017-12-01 02,235
2,2017-12-01 02,847
3,2017-12-01 02,26
4,2017-12-01 02,128
5,2017-12-01 02,126
6,2017-12-01 02,195
7,2017-12-01 02,58
8,2017-12-01 02,20
9,2017-12-01 02,157
10,2017-12-01 02,6
11,2017-12-01 02,286
12,2017-12-01 02,19
13,2017-12-01 02,19
14,2017-12-01 02,22
15,2017-12-01 02,11
16,2017-12-01 02,6
17,2017-12-01 02,83
18,2017-12-01 02,196
19,2017-12-01 02,210
20,2017-12-01 02,30
21,2017-12-01 02,327
22,2017-12-01 02,4
23,2017-12-01 02,398
24,2017-12-01 02,3
25,2017-12-01 02,434
26,2017-12-01 02,12
27,2017-12-01 02,22
28,2017-12-01 02,88
29,2017-12-01 02,5
30,2017-12-01 02,305
31,2017-12-01 02,79
32,2017-12-01 02,7
33,2017-12-01 02,16
1,2017-12-01 03,400
2,2017-12-01 03,773
3,2017-12-01 03,23
4,2017-12-01 03,68
5,2017-12-01 03,228
6,2017-12-01 03,125
7,2017-12-01 03,78
8,2017-12-01 03,22
9,2017-12-01 03,97
10,2017-12-01 03,4
11,2017-12-01 03,230
12,2017-12-01 03,24
13,2017-12-01 03,15
14,2017-12-01 03,21
15,2017-12-01 03,12
16,2017-12-01 03,8
17,2017-12-01 03,95
18,2017-12-01 03,266
19,2017-12-01 03,138
20,2017-12-01 03,27
21,2017-12-01 03,209
22,2017-12-01 03,6
23,2017-12-01 03,330
24,2017-12-01 03,4
25,2017-12-01 03,237
26,2017-12-01 03,11
27,2017-12-01 03,21
28,2017-12-01 03,59
29,2017-12-01 03,6
30,2017-12-01 03,300
31,2017-12-01 03,48
32,2017-12-01 03,8
33,2017-12-01 03,22
1,2017-12-01 04,319
2,2017-12-01 04,790
3,2017-12-01 04,25
4,2017-12-01 04,99
5,2017-12-01 04,147
6,2017-12-01 04,151
7,2017-12-01 04,61
8,2017-12-01 04,34
9,2017-12-01 04,131
10,2017-12-01 04,15
11,2017-12-01 04,272
12,2017-12-01 04,35
13,2017-12-01 04,20
14,2017-12-01 04,18
15,2017-12-01 04,11
16,2017-12-01 04,8
17,2017-12-01 04,108
18,2017-12-01 04,251
19,2017-12-01 04,174
20,2017-12-01 04,22
21,2017-12-01 04,307
22,2017-12-01 04,4
23,2017-12-01 04,409
24,2017-12-01 04,3
25,2017-12-01 04,424
26,2017-12-01 04,23
27,2017-12-01 04,20
28,2017-12-01 04,57
29,2017-12-01 04,31
30,2017-12-01 04,363
31,2017-12-01 04,57
32,2017-12-01 04,7
33,2017-12-01 04,28
1,2017-12-01 05,339
2,2017-12-01 05,935
3,2017-12-01 05,44
4,2017-12-01 05,79
5,2017-12-01 05,214
6,2017-12-01 05,153
7,2017-12-01 05,75
8,2017-12-01 05,134
9,2017-12-01 05,115
10,2017-12-01 05,37
11,2017-12-01 05,268
12,2017-12-01 05,121
13,2017-12-01 05,29
14,2017-12-01 05,24
15,2017-12-01 05,20
16,2017-12-01 05,10
17,2017-12-01 05,125
18,2017-12-01 05,297
19,2017-12-01 05,194
20,2017-12-01 05,31
21,2017-12-01 05,295
22,2017-12-01 05,5
23,2017-12-01 05,394
24,2017-12-01 05,10
25,2017-12-01 05,354
26,2017-12-01 05,22
27,2017-12-01 05,24
28,2017-12-01 05,94
29,2017-12-01 05,78
30,2017-12-01 05,346
31,2017-12-01 05,78
32,2017-12-01 05,12
33,2017-12-01 05,30
1,2017-12-01 06,275
2,2017-12-01 06,669
3,2017-12-01 06,113
4,2017-12-01 06,145
5,2017-12-01 06,189
6,2017-12-01 06,224
7,2017-12-01 06,81
8,2017-12-01 06,426
9,2017-12-01 06,118
10,2017-12-01 06,139
11,2017-12-01 06,348
12,2017-12-01 06,431
13,2017-12-01 06,60
14,2017-12-01 06,73
15,2017-12-01 06,54
16,2017-12-01 06,46
17,2017-12-01 06,227
18,2017-12-01 06,333
19,2017-12-01 06,234
20,2017-12-01 06,63
21,2017-12-01 06,291
22,2017-12-01 06,12
23,2017-12-01 06,534
24,2017-12-01 06,112
25,2017-12-01 06,282
26,2017-12-01 06,81
27,2017-12-01 06,76
28,2017-12-01 06,175
29,2017-12-01 06,180
30,2017-12-01 06,432
31,2017-12-01 06,152
32,2017-12-01 06,55
33,2017-12-01 06,81
1,2017-12-01 07,539
2,2017-12-01 07,801
3,2017-12-01 07,749
4,2017-12-01 07,274
