loc_id,time_stamp,num_of_people
24,2017-01-01 00,24
24,2017-01-01 01,12.0
24,2017-01-01 02,8
24,2017-01-01 03,12
24,2017-01-01 04,12.0
24,2017-01-01 05,15
24,2017-01-01 06,30
24,2017-01-01 07,33
24,2017-01-01 08,47
24,2017-01-01 09,73
24,2017-01-01 10,50
24,2017-01-01 11,66
24,2017-01-01 12,58.125
24,2017-01-01 17,65
24,2017-01-01 18,141
24,2017-01-01 19,87
24,2017-01-01 20,84
24,2017-01-01 21,58
24,2017-01-01 22,84
24,2017-01-01 23,46
24,2017-01-02 00,8
24,2017-01-02 01,6
24,2017-01-02 02,1
24,2017-01-02 05,11
24,2017-01-02 06,12
24,2017-01-02 07,31
24,2017-01-02 08,83
24,2017-01-02 09,470
24,2017-01-02 10,410
24,2017-01-02 11,167
24,2017-01-02 12,186
24,2017-01-02 13,115
24,2017-01-02 14,210
24,2017-01-02 15,192
24,2017-01-02 16,120
24,2017-01-02 17,171
24,2017-01-02 18,264
24,2017-01-02 19,159
24,2017-01-02 20,104
24,2017-01-02 21,116
24,2017-01-02 22,232
24,2017-01-02 23,79
24,2017-01-03 00,10
24,2017-01-03 01,2
24,2017-01-03 02,2
24,2017-01-03 03,1
24,2017-01-03 04,1
24,2017-01-03 05,5
24,2017-01-03 06,22
24,2017-01-03 07,161
24,2017-01-03 08,299
24,2017-01-03 09,376
24,2017-01-03 10,357
24,2017-01-03 11,517
24,2017-01-03 12,466
24,2017-01-03 13,459
24,2017-01-03 14,358
24,2017-01-03 15,358
24,2017-01-03 16,244
24,2017-01-03 17,609
24,2017-01-03 18,409
24,2017-01-03 19,261
24,2017-01-03 20,191
24,2017-01-03 21,172
24,2017-01-03 22,246
24,2017-01-03 23,84
24,2017-01-04 00,3
24,2017-01-04 01,4
24,2017-01-04 02,1
24,2017-01-04 03,2
24,2017-01-04 04,1
24,2017-01-04 05,3
24,2017-01-04 06,17
24,2017-01-04 07,180
24,2017-01-04 08,298
24,2017-01-04 09,397
24,2017-01-04 10,320
24,2017-01-04 11,589
24,2017-01-04 12,565
24,2017-01-04 13,430
24,2017-01-04 14,313
24,2017-01-04 15,395
24,2017-01-04 16,286
24,2017-01-04 17,610
24,2017-01-04 18,443
24,2017-01-04 19,269
24,2017-01-04 20,205
24,2017-01-04 21,204
24,2017-01-04 22,241
24,2017-01-04 23,99
24,2017-01-05 00,9
24,2017-01-05 01,2
24,2017-01-05 02,1
