loc_id,time_stamp,num_of_people
16,2017-01-01 00,9
16,2017-01-01 01,7
16,2017-01-01 02,5
16,2017-01-01 03,6
16,2017-01-01 04,5
16,2017-01-01 05,5
16,2017-01-01 06,7
16,2017-01-01 07,14
16,2017-01-01 08,16
16,2017-01-01 09,48
16,2017-01-01 10,29
16,2017-01-01 11,40
16,2017-01-01 12,29
16,2017-01-01 17,50
16,2017-01-01 18,96
16,2017-01-01 19,62
16,2017-01-01 20,44
16,2017-01-01 21,41
16,2017-01-01 22,51
16,2017-01-01 23,31
16,2017-01-02 00,12
16,2017-01-02 01,6
16,2017-01-02 02,5
16,2017-01-02 03,4
16,2017-01-02 04,5
16,2017-01-02 05,13
16,2017-01-02 06,14
16,2017-01-02 07,30
16,2017-01-02 08,74
16,2017-01-02 09,201
16,2017-01-02 10,197
16,2017-01-02 11,221
16,2017-01-02 12,279
16,2017-01-02 13,183
16,2017-01-02 14,244
16,2017-01-02 15,183
16,2017-01-02 16,144
16,2017-01-02 17,249
16,2017-01-02 18,291
16,2017-01-02 19,168
16,2017-01-02 20,102
16,2017-01-02 21,100
16,2017-01-02 22,157
16,2017-01-02 23,52
16,2017-01-03 00,9
16,2017-01-03 01,7
16,2017-01-03 02,5
16,2017-01-03 03,4
16,2017-01-03 04,5
16,2017-01-03 05,9
16,2017-01-03 06,23
16,2017-01-03 07,159
16,2017-01-03 08,292
16,2017-01-03 09,343
16,2017-01-03 10,281
16,2017-01-03 11,512
16,2017-01-03 12,435
16,2017-01-03 13,456
16,2017-01-03 14,390
16,2017-01-03 15,512
16,2017-01-03 16,405
16,2017-01-03 17,696
16,2017-01-03 18,382
16,2017-01-03 19,202
16,2017-01-03 20,171
16,2017-01-03 21,168
16,2017-01-03 22,191
16,2017-01-03 23,43
16,2017-01-04 00,9
16,2017-01-04 01,7
16,2017-01-04 02,5
16,2017-01-04 03,5
16,2017-01-04 04,5
16,2017-01-04 05,6
16,2017-01-04 06,27
16,2017-01-04 07,169
16,2017-01-04 08,357
16,2017-01-04 09,511
16,2017-01-04 10,340
16,2017-01-04 11,688
16,2017-01-04 12,589
16,2017-01-04 13,406
16,2017-01-04 14,316
16,2017-01-04 15,401
16,2017-01-04 16,293
16,2017-01-04 17,516
16,2017-01-04 18,423
