loc_id,time_stamp,num_of_people
5,2017-01-01 00,111
5,2017-01-01 01,85
5,2017-01-01 02,48
5,2017-01-01 03,53
5,2017-01-01 04,28
5,2017-01-01 05,44
5,2017-01-01 06,61
5,2017-01-01 07,50
5,2017-01-01 08,102.0
5,2017-01-01 09,107.0
5,2017-01-01 10,76
5,2017-01-01 11,110.0
5,2017-01-01 12,170.0
5,2017-01-01 17,109.5
5,2017-01-01 18,167.0
5,2017-01-01 19,105.5
5,2017-01-01 20,80
5,2017-01-01 21,72
5,2017-01-01 22,72
5,2017-01-01 23,78
5,2017-01-02 00,66
5,2017-01-02 01,52
5,2017-01-02 02,35
5,2017-01-02 03,55
5,2017-01-02 04,68
5,2017-01-02 05,122
5,2017-01-02 06,131
5,2017-01-02 07,205
5,2017-01-02 08,275
5,2017-01-02 09,358
5,2017-01-02 10,257
5,2017-01-02 11,349
5,2017-01-02 12,395
5,2017-01-02 13,261
5,2017-01-02 14,233
5,2017-01-02 15,255
5,2017-01-02 16,219
5,2017-01-02 17,375
5,2017-01-02 18,392
5,2017-01-02 19,279
5,2017-01-02 20,254
5,2017-01-02 21,227
5,2017-01-02 22,240
5,2017-01-02 23,276
5,2017-01-03 00,165
5,2017-01-03 01,108
5,2017-01-03 02,108
5,2017-01-03 03,101
5,2017-01-03 04,95
5,2017-01-03 05,77
5,2017-01-03 06,121
5,2017-01-03 07,208
5,2017-01-03 08,388
5,2017-01-03 09,289
5,2017-01-03 10,254
5,2017-01-03 11,356
5,2017-01-03 12,496
5,2017-01-03 13,438
5,2017-01-03 14,291
5,2017-01-03 15,251
5,2017-01-03 16,291
5,2017-01-03 17,487
5,2017-01-03 18,385
5,2017-01-03 19,300
5,2017-01-03 20,330
5,2017-01-03 21,377
5,2017-01-03 22,396
5,2017-01-03 23,309
5,2017-01-04 00,175
5,2017-01-04 01,162
5,2017-01-04 02,152
5,2017-01-04 03,147
5,2017-01-04 04,147
5,2017-01-04 05,110
5,2017-01-04 06,141
5,2017-01-04 07,300
5,2017-01-04 08,368
5,2017-01-04 09,357
5,2017-01-04 10,245
5,2017-01-04 11,342
5,2017-01-04 12,625
5,2017-01-04 13,433
5,2017-01-04 14,362
5,2017-01-04 15,279
5,2017-01-04 16,296
5,2017-01-04 17,507
5,2017-01-04 18,449
5,2017-01-04 19,306
5,2017-01-04 20,246
5,2017-01-04 21,252
5,2017-01-04 22,296
5,2017-01-04 23,306
5,2017-01-05 00,213
5,2017-01-05 01,126
5,2017-01-05 02,100
5,2017-01-05 03,159
5,2017-01-05 04,201
5,2017-01-05 05,175
5,2017-01-05 06,186
5,2017-01-05 07,263
5,2017-01-05 08,364
5,2017-01-05 09,388
5,2017-01-05 10,472
5,2017-01-05 11,338
5,2017-01-05 12,490
5,2017-01-05 13,491
5,2017-01-05 14,321
5,2017-01-05 15,224
5,2017-01-05 16,213
5,2017-01-05 17,365
5,2017-01-05 18,414
5,2017-01-05 19,345
5,2017-01-05 20,283
5,2017-01-05 21,376
5,2017-01-05 22,380
5,2017-01-05 23,283
5,2017-01-06 00,168
5,2017-01-06 01,119
5,2017-01-06 02,83
5,2017-01-06 03,169
5,2017-01-06 04,118
5,2017-01-06 05,125
5,2017-01-06 06,105
5,2017-01-06 07,162
5,2017-01-06 08,347
5,2017-01-06 09,332
5,2017-01-06 10,285
5,2017-01-06 11,402
5,2017-01-06 12,496
5,2017-01-06 13,401
5,2017-01-06 14,216
5,2017-01-06 15,216
5,2017-01-06 16,278
5,2017-01-06 17,443
5,2017-01-06 18,415
5,2017-01-06 19,348
5,2017-01-06 20,234
5,2017-01-06 21,189
5,2017-01-06 22,241
5,2017-01-06 23,180
5,2017-01-07 00,157
5,2017-01-07 01,150
5,2017-01-07 02,135
5,2017-01-07 03,125
5,2017-01-07 04,160
5,2017-01-07 05,114
5,2017-01-07 06,189
5,2017-01-07 07,168
5,2017-01-07 08,193
5,2017-01-07 09,304
5,2017-01-07 10,312
5,2017-01-07 11,368
5,2017-01-07 12,451
5,2017-01-07 13,294
5,2017-01-07 14,251
5,2017-01-07 15,217
5,2017-01-07 16,276
5,2017-01-07 17,315
5,2017-01-07 18,300
5,2017-01-07 19,250
5,2017-01-07 20,212
5,2017-01-07 21,262
5,2017-01-07 22,361
5,2017-01-07 23,195
5,2017-01-08 00,249
5,2017-01-08 01,146
5,2017-01-08 02,129
5,2017-01-08 03,121
5,2017-01-08 04,154
5,2017-01-08 05,85
5,2017-01-08 06,133
5,2017-01-08 07,152
5,2017-01-08 08,209
5,2017-01-08 09,240
5,2017-01-08 10,298
5,2017-01-08 11,300
5,2017-01-08 12,432
5,2017-01-08 13,371
5,2017-01-08 14,252
5,2017-01-08 15,238
5,2017-01-08 16,237
5,2017-01-08 17,248
5,2017-01-08 18,286
5,2017-01-08 19,235
5,2017-01-08 20,218
5,2017-01-08 21,224
5,2017-01-08 22,285
5,2017-01-08 23,259
5,2017-01-09 00,147
5,2017-01-09 01,104
5,2017-01-09 02,64
5,2017-01-09 03,55
5,2017-01-09 04,40
5,2017-01-09 05,67
5,2017-01-09 06,98
5,2017-01-09 07,182
5,2017-01-09 08,332
5,2017-01-09 09,211
5,2017-01-09 10,206
5,2017-01-09 11,307
5,2017-01-09 12,420
5,2017-01-09 13,379
5,2017-01-09 14,252
5,2017-01-09 15,239
5,2017-01-09 16,365
5,2017-01-09 17,318
5,2017-01-09 18,337
5,2017-01-09 19,241
5,2017-01-09 20,225
