loc_id,time_stamp,num_of_people
4,2017-01-01 00,73
4,2017-01-01 01,67
4,2017-01-01 02,71
4,2017-01-01 03,73
4,2017-01-01 04,35
4,2017-01-01 05,55
4,2017-01-01 06,63
4,2017-01-01 07,37
4,2017-01-01 08,44
4,2017-01-01 09,121.0
4,2017-01-01 10,67
4,2017-01-01 11,88
4,2017-01-01 12,190.125
4,2017-01-01 17,106.125
4,2017-01-01 18,196.125
4,2017-01-01 19,200.25
4,2017-01-01 20,110.75
4,2017-01-01 21,125.0
4,2017-01-01 22,172.0
4,2017-01-01 23,132.25
4,2017-01-02 00,49
4,2017-01-02 01,36
4,2017-01-02 02,41
4,2017-01-02 03,24
4,2017-01-02 04,40
4,2017-01-02 05,71
4,2017-01-02 06,66
4,2017-01-02 07,86
4,2017-01-02 08,140
4,2017-01-02 09,191
4,2017-01-02 10,191
4,2017-01-02 11,278
4,2017-01-02 12,503
4,2017-01-02 13,327
4,2017-01-02 14,216
4,2017-01-02 15,173
4,2017-01-02 16,182
4,2017-01-02 17,353
4,2017-01-02 18,481
4,2017-01-02 19,339
4,2017-01-02 20,280
4,2017-01-02 21,295
4,2017-01-02 22,345
4,2017-01-02 23,331
4,2017-01-03 00,117
4,2017-01-03 01,153.0
4,2017-01-03 02,80
4,2017-01-03 03,59
4,2017-01-03 04,77
4,2017-01-03 05,75
4,2017-01-03 06,66
4,2017-01-03 07,157
4,2017-01-03 08,294
4,2017-01-03 09,292
4,2017-01-03 10,241
4,2017-01-03 11,336
4,2017-01-03 12,587
4,2017-01-03 13,361
4,2017-01-03 14,302
4,2017-01-03 15,239
4,2017-01-03 16,241
4,2017-01-03 17,447
4,2017-01-03 18,485
4,2017-01-03 19,332
4,2017-01-03 20,288
4,2017-01-03 21,325
4,2017-01-03 22,414
4,2017-01-03 23,327
4,2017-01-04 00,118
4,2017-01-04 01,137
4,2017-01-04 02,112.375
4,2017-01-04 03,57
4,2017-01-04 04,48
4,2017-01-04 05,99
4,2017-01-04 06,93
4,2017-01-04 07,210
4,2017-01-04 08,373
4,2017-01-04 09,361
4,2017-01-04 10,267
4,2017-01-04 11,403
4,2017-01-04 12,581
4,2017-01-04 13,387
4,2017-01-04 14,339
4,2017-01-04 15,256
4,2017-01-04 16,224
4,2017-01-04 17,414
4,2017-01-04 18,497
4,2017-01-04 19,371
4,2017-01-04 20,264
4,2017-01-04 21,269
4,2017-01-04 22,460
4,2017-01-04 23,330
4,2017-01-05 00,113
4,2017-01-05 01,91
4,2017-01-05 02,71
4,2017-01-05 03,40
4,2017-01-05 04,79
4,2017-01-05 05,73
4,2017-01-05 06,77
4,2017-01-05 07,150
4,2017-01-05 08,362
4,2017-01-05 09,339
4,2017-01-05 10,207
4,2017-01-05 11,361
4,2017-01-05 12,581
4,2017-01-05 13,412
4,2017-01-05 14,333
4,2017-01-05 15,292
4,2017-01-05 16,247
4,2017-01-05 17,409
4,2017-01-05 18,491
4,2017-01-05 19,386
4,2017-01-05 20,295
4,2017-01-05 21,304
4,2017-01-05 22,434
4,2017-01-05 23,383
4,2017-01-06 00,107
4,2017-01-06 01,66
4,2017-01-06 02,82
4,2017-01-06 03,104.375
4,2017-01-06 04,55
4,2017-01-06 05,37
4,2017-01-06 06,91
4,2017-01-06 07,129
4,2017-01-06 08,335
4,2017-01-06 09,341
4,2017-01-06 10,211
4,2017-01-06 11,361
4,2017-01-06 12,536
4,2017-01-06 13,447
4,2017-01-06 14,355
4,2017-01-06 15,247
4,2017-01-06 16,199
4,2017-01-06 17,432
4,2017-01-06 18,402
4,2017-01-06 19,321
4,2017-01-06 20,309
4,2017-01-06 21,266
4,2017-01-06 22,413
4,2017-01-06 23,397
4,2017-01-07 00,152
4,2017-01-07 01,92
4,2017-01-07 02,55
4,2017-01-07 03,53
4,2017-01-07 04,68
4,2017-01-07 05,46
4,2017-01-07 06,107
4,2017-01-07 07,118
4,2017-01-07 08,220
4,2017-01-07 09,261
4,2017-01-07 10,237
4,2017-01-07 11,364
4,2017-01-07 12,519
4,2017-01-07 13,332
4,2017-01-07 14,264
4,2017-01-07 15,240
4,2017-01-07 16,225
4,2017-01-07 17,376
4,2017-01-07 18,413
4,2017-01-07 19,312
4,2017-01-07 20,233
4,2017-01-07 21,215
4,2017-01-07 22,331
4,2017-01-07 23,326
4,2017-01-08 00,130
4,2017-01-08 01,94
4,2017-01-08 02,83
4,2017-01-08 03,49
4,2017-01-08 04,60
4,2017-01-08 05,77
4,2017-01-08 06,117
4,2017-01-08 07,142
4,2017-01-08 08,155
4,2017-01-08 09,234
4,2017-01-08 10,235
4,2017-01-08 11,402
4,2017-01-08 12,588
4,2017-01-08 13,359
4,2017-01-08 14,324
4,2017-01-08 15,221
4,2017-01-08 16,251
4,2017-01-08 17,350
4,2017-01-08 18,498
4,2017-01-08 19,341
4,2017-01-08 20,251
4,2017-01-08 21,305
4,2017-01-08 22,415
4,2017-01-08 23,313
4,2017-01-09 00,126
4,2017-01-09 01,100
4,2017-01-09 02,89
4,2017-01-09 03,85
4,2017-01-09 04,81
4,2017-01-09 05,55
4,2017-01-09 06,79
4,2017-01-09 07,173
4,2017-01-09 08,339
4,2017-01-09 09,311
4,2017-01-09 10,286
4,2017-01-09 11,342
4,2017-01-09 12,580
4,2017-01-09 13,385
4,2017-01-09 14,347
4,2017-01-09 15,228
4,2017-01-09 16,208
4,2017-01-09 17,378
4,2017-01-09 18,393
4,2017-01-09 19,329
4,2017-01-09 20,269
4,2017-01-09 21,246
4,2017-01-09 22,385
4,2017-01-09 23,320
4,2017-01-10 00,100
4,2017-01-10 01,62
4,2017-01-10 02,27
4,2017-01-10 03,31
4,2017-01-10 04,62
4,2017-01-10 05,42
4,2017-01-10 06,69
4,2017-01-10 07,132
4,2017-01-10 08,273
4,2017-01-10 09,315
4,2017-01-10 10,186
4,2017-01-10 11,361
4,2017-01-10 12,492
4,2017-01-10 13,286
4,2017-01-10 14,273
4,2017-01-10 15,195
4,2017-01-10 16,181
4,2017-01-10 17,364
4,2017-01-10 18,443
4,2017-01-10 19,273
4,2017-01-10 20,262
4,2017-01-10 21,322
4,2017-01-10 22,417
4,2017-01-10 23,292
4,2017-01-11 00,115
4,2017-01-11 01,52
4,2017-01-11 02,41
4,2017-01-11 03,36
4,2017-01-11 04,106
4,2017-01-11 05,93
4,2017-01-11 06,106
4,2017-01-11 07,134
4,2017-01-11 08,361
4,2017-01-11 09,351
4,2017-01-11 10,199
4,2017-01-11 11,296
4,2017-01-11 12,476
4,2017-01-11 13,325
4,2017-01-11 14,355
4,2017-01-11 15,205
4,2017-01-11 16,239
4,2017-01-11 17,408
4,2017-01-11 18,414
4,2017-01-11 19,290
4,2017-01-11 20,276
4,2017-01-11 21,247
4,2017-01-11 22,411
4,2017-01-11 23,331
4,2017-01-12 00,97
4,2017-01-12 01,66
4,2017-01-12 02,49
4,2017-01-12 03,36
4,2017-01-12 04,42
4,2017-01-12 05,50
4,2017-01-12 06,76
4,2017-01-12 07,141
