loc_id,time_stamp,num_of_people
25,2017-01-01 00,74
25,2017-01-01 01,149
25,2017-01-01 02,150
25,2017-01-01 03,243
25,2017-01-01 04,98
25,2017-01-01 05,98
25,2017-01-01 06,92
25,2017-01-01 07,52
25,2017-01-01 08,73
25,2017-01-01 09,219.375
25,2017-01-01 10,130.625
25,2017-01-01 11,231.625
25,2017-01-01 12,318.0
25,2017-01-01 17,280.0
25,2017-01-01 18,339.25
25,2017-01-01 19,295.625
25,2017-01-01 20,162.625
25,2017-01-01 21,175.0
25,2017-01-01 22,211.0
25,2017-01-01 23,113.0
25,2017-01-02 00,61
25,2017-01-02 01,112
25,2017-01-02 02,188
25,2017-01-02 03,214
25,2017-01-02 04,378
25,2017-01-02 05,376
25,2017-01-02 06,387.75
25,2017-01-02 07,149
25,2017-01-02 08,236
25,2017-01-02 09,326
25,2017-01-02 10,369
25,2017-01-02 11,556
25,2017-01-02 12,769
25,2017-01-02 13,543
25,2017-01-02 14,426
25,2017-01-02 15,360
25,2017-01-02 16,344
25,2017-01-02 17,577
25,2017-01-02 18,703
25,2017-01-02 19,490
25,2017-01-02 20,369
25,2017-01-02 21,344
25,2017-01-02 22,451
25,2017-01-02 23,220
25,2017-01-03 00,139
25,2017-01-03 01,404
25,2017-01-03 02,476
25,2017-01-03 03,454
25,2017-01-03 04,406
25,2017-01-03 05,393
25,2017-01-03 06,274
25,2017-01-03 07,226
25,2017-01-03 08,521
25,2017-01-03 09,510
25,2017-01-03 10,374
25,2017-01-03 11,624
25,2017-01-03 12,851
25,2017-01-03 13,538
25,2017-01-03 14,509
25,2017-01-03 15,359
25,2017-01-03 16,409
25,2017-01-03 17,692
25,2017-01-03 18,747
25,2017-01-03 19,504
25,2017-01-03 20,405
25,2017-01-03 21,531
25,2017-01-03 22,600
25,2017-01-03 23,226
25,2017-01-04 00,144
25,2017-01-04 01,345
25,2017-01-04 02,292
25,2017-01-04 03,367
25,2017-01-04 04,318
25,2017-01-04 05,356
25,2017-01-04 06,252
25,2017-01-04 07,283
25,2017-01-04 08,590
25,2017-01-04 09,563
25,2017-01-04 10,351
25,2017-01-04 11,615
25,2017-01-04 12,813
25,2017-01-04 13,549
25,2017-01-04 14,536
25,2017-01-04 15,355
25,2017-01-04 16,313
25,2017-01-04 17,643
25,2017-01-04 18,726
25,2017-01-04 19,468
25,2017-01-04 20,364
25,2017-01-04 21,339
25,2017-01-04 22,456
25,2017-01-04 23,190
25,2017-01-05 00,136
25,2017-01-05 01,359
25,2017-01-05 02,266
25,2017-01-05 03,250
25,2017-01-05 04,361
25,2017-01-05 05,403
25,2017-01-05 06,266
25,2017-01-05 07,239
25,2017-01-05 08,540
25,2017-01-05 09,501
25,2017-01-05 10,336
25,2017-01-05 11,589
25,2017-01-05 12,753
25,2017-01-05 13,529
25,2017-01-05 14,450
25,2017-01-05 15,391
25,2017-01-05 16,358
25,2017-01-05 17,728
25,2017-01-05 18,785
25,2017-01-05 19,551
25,2017-01-05 20,377
25,2017-01-05 21,487
25,2017-01-05 22,604
25,2017-01-05 23,266
25,2017-01-06 00,138
25,2017-01-06 01,264
25,2017-01-06 02,458
25,2017-01-06 03,500
25,2017-01-06 04,555.75
25,2017-01-06 05,548
25,2017-01-06 06,298
25,2017-01-06 07,280
25,2017-01-06 08,449
25,2017-01-06 09,551
25,2017-01-06 10,308
25,2017-01-06 11,548
25,2017-01-06 12,844
